AppID,Name,Release date,Developers,Publishers,Price,total_reviews,review_score_percent,Genres
1293860,The Riftbreaker: Prologue,"Aug 5, 2020",EXOR Studios,"EXOR Studios, Surefire.Games",0.0,4100,95.51219512195121,"Action, Adventure, Indie, RPG, Simulation, Strategy"
905970,Steel Crew,"Oct 28, 2021",Magnus Ander,Magnus Ander,14.99,568,83.09859154929578,"Action, Indie, Simulation, Early Access"
1397790,Samurai GUNN 2,"Jul 20, 2021","Beau Blyth, Nelson Boles, Valentin Seiche, Doseone, Adam Robezzoli, Evan Hemsley, YellowAfterlife","SCRAMBLER, Peow Studio",9.59,631,94.13629160063391,"Action, Adventure, Indie, Early Access"
536280,Disintegration,"Jun 15, 2020",V1 Interactive,Private Division,29.99,706,50.991501416430594,"Action, Adventure"
942970,Unheard - Voices of Crime,"Mar 28, 2019",NEXT Studios,"NEXT Studios, 505 Games",2.79,31309,96.21833977450574,"Indie, RPG, Simulation"
749960,Townsmen VR,"Mar 24, 2022",HandyGames,HandyGames,9.99,522,83.9080459770115,"Casual, Indie, Simulation, Strategy"
520950,DRIFT CE,"Jun 10, 2021",ECC GAMES,505 Games,8.99,2396,72.57929883138564,"Action, Racing, Simulation, Sports"
1007040,EARTH DEFENSE FORCE 5,"Jul 11, 2019",SANDLOT,D3PUBLISHER,14.99,10763,94.45321936263123,Action
1135240,Men of War: Assault Squad 2 - Cold War,"Sep 12, 2019",Digitalmindsoft,Fulqrum Publishing,1.99,1210,25.867768595041323,"Action, Simulation, Strategy"
1681970,神都不良探 Underdog Detective,"Apr 27, 2022",天津芸芸科技有限公司,天津芸芸科技有限公司,7.99,2788,73.02725968436154,"Adventure, Indie, RPG, Simulation, Strategy"
1262350,SIGNALIS,"Oct 27, 2022",rose-engine,Humble Games,13.99,26157,96.80009175364147,"Action, Adventure, Indie"
1065100,Golden Treasure: The Great Green,"Jun 17, 2019",Dreaming Door Studios,Dreaming Door Studios,9.99,800,96.375,"Adventure, Indie, RPG, Simulation"
1172380,STAR WARS Jedi: Fallen Order™,"Nov 14, 2019",Respawn Entertainment,Electronic Arts,3.99,158579,88.58991417526912,"Action, Adventure"
979060,Bloons Adventure Time TD,"Jan 16, 2019",Ninja Kiwi,Ninja Kiwi,0.0,4302,87.00604370060438,"Action, Strategy"
950740,China: Mao's legacy,"May 24, 2019",Nostalgames,Nostalgames,2.79,1015,91.92118226600985,"Indie, Simulation, Strategy"
1816300,HARVESTELLA,"Nov 4, 2022",Square Enix,Square Enix,23.99,2298,77.80678851174935,"Action, RPG, Simulation"
739650,Drake Hollow,"Oct 1, 2020",The Molasses Flood,CD PROJEKT RED,4.49,1726,77.92584009269989,"Action, Adventure, Indie"
994220,NEOVERSE,"Feb 18, 2020",Tinogames Inc.,Tinogames Inc.,3.99,3743,84.29067592839968,"Action, Adventure, Casual, Indie, RPG, Strategy"
1554840,Toree 3D,"Apr 9, 2021",Siactro,Siactro,0.49,1520,95.65789473684211,"Action, Adventure, Indie"
1859360,Dungeon Village,"Mar 27, 2022","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",3.23,716,88.68715083798882,"Casual, Indie, RPG, Simulation, Strategy"
1306630,Lost Ruins,"May 13, 2021",ALTARI GAMES,DANGEN Entertainment,6.99,5428,85.68533529845247,"Action, Adventure, Indie"
1639790,Northern Journey,"Aug 18, 2021",Slid Studio,Slid Studio,7.19,3098,96.96578437701743,Adventure
1798780,Dimension Tripper Neptune: TOP NEP,"Jan 20, 2022","Idea Factory, Frontier Works, tiny cactus studio, WSS playground",Idea Factory International,2.99,669,94.76831091180867,Action
1379130,League of Angels-Heaven's Fury,"Sep 3, 2020","CHENGDU DREAMCALLER TECHNOLOGY CO.,LTD",YOUZU SINGAPORE PTE LTD,0.0,755,58.41059602649007,"Action, Massively Multiplayer, RPG"
1292910,Accident: The Pilot,"Jul 16, 2020","Duality Games, Glob Games Studio","Duality Games, PlayWay S.A.",0.0,803,68.74221668742216,"Indie, Simulation"
1158890,White Shadows,"Dec 7, 2021",Monokel,"Thunderful Publishing, Mixtvision",1.19,1029,81.72983479105929,"Action, Adventure, Casual, Indie"
1623070,Master of Magic,"Dec 13, 2022","MuHa Games, Eerie Forest Studio",Slitherine Ltd.,15.99,1078,70.50092764378478,"Indie, RPG, Strategy"
1777620,Soul Hackers 2,"Aug 25, 2022",ATLUS,SEGA,11.99,3013,65.84799203451709,RPG
1380220,Starsand,"Nov 17, 2022",Tunnel Vision Studio,Toplitz Productions,7.99,1157,66.81071737251513,"Action, Adventure, Simulation"
1264670,The Wind Road,"Jul 9, 2020",甘肃嘉元数字科技有限公司,Phoenix Game,20.99,6804,69.16519694297472,"Action, Adventure, Indie, RPG"
914800,Coffee Talk,"Jan 29, 2020",Toge Productions,Toge Productions,6.49,11267,94.92322712345789,"Adventure, Casual, Indie"
1370050,Trek to Yomi,"May 5, 2022","Leonard Menchiari, Flying Wild Hog",Devolver Digital,4.99,2729,71.05166727739099,"Action, Adventure"
1846170,Iron Lung,"Mar 9, 2022",David Szymanski,David Szymanski,4.39,8170,92.15422276621787,"Adventure, Indie, Simulation"
1341820,As Dusk Falls,"Jul 19, 2022",INTERIOR/NIGHT,Xbox Game Studios,7.49,3307,90.86785606289689,Adventure
1373510,BloodRayne: Terminal Cut,"Nov 20, 2020",Terminal Reality,Ziggurat,7.49,1477,89.91198375084632,Action
1102980,英雄群侠传,"Jun 27, 2019",熊窝dodox,"熊窝dodox, RuiXiao",3.99,537,91.24767225325886,"Adventure, Indie, RPG, Strategy"
823950,Re:Legend,"Sep 5, 2022",Magnus Games Studio,505 Games,12.49,2002,55.99400599400599,"Action, Adventure, Indie, RPG, Simulation"
1354830,Cat Cafe Manager,"Apr 14, 2022",Roost Games,indie.io,5.99,2844,87.58790436005626,"Indie, Simulation, Strategy"
1111370,A Summer's End - Hong Kong 1986,"Apr 23, 2020",Oracle and Bone,Oracle and Bone,10.04,1965,96.23409669211196,"Casual, Indie"
1575450,Dark Siren,"Dec 16, 2022",eTIRUe,eTIRUe,2.24,537,89.75791433891993,Action
1668510,The Legend of Heroes: Trails from Zero,"Sep 27, 2022","Nihon Falcom, PH3 GmbH","NIS America, Inc.",27.99,1209,98.09760132340777,RPG
1163130,Oasis VR,"Oct 26, 2020",Oasis VR,Oasis VR Inc.,0.0,1905,85.61679790026247,"Adventure, Casual, Free To Play, Indie, Massively Multiplayer, RPG, Simulation, Sports"
622720,Weedcraft Inc,"Apr 11, 2019",Vile Monarch,Devolver Digital,4.99,1632,80.33088235294117,"Indie, Simulation, Strategy"
1056640,Phantasy Star Online 2 New Genesis,"Aug 5, 2020",SEGA,SEGA,0.0,24044,70.07153551821659,"Action, Massively Multiplayer, RPG, Free To Play"
855630,Zeliria Sanctuary,"Jan 6, 2019",Salangan Games,Phoenix_co,3.99,710,87.60563380281691,"Adventure, Indie"
1133760,CHRONO CROSS: THE RADICAL DREAMERS EDITION,"Apr 7, 2022","Square Enix, D4Enterprise Co.,Ltd.",Square Enix,7.99,2175,61.42528735632183,"Adventure, RPG"
763890,Wildermyth,"Jun 15, 2021",Worldwalker Games LLC,"Worldwalker Games LLC, WhisperGames",16.24,17491,94.83162769424275,"Indie, RPG, Strategy"
865040,Super Bit Blaster XL,"Mar 16, 2020",Adamvision Studios,Adamvision Studios,0.89,853,93.78663540445487,"Action, Casual, Indie"
1348390,I am an Air Traffic Controller 4,"Oct 15, 2020",TechnoBrain,TechnoBrain,17.99,516,80.62015503875969,"Simulation, Strategy"
1414250,CORPSE FACTORY,"May 31, 2022",RIVER CROW STUDIO,RIVER CROW STUDIO,5.99,777,82.62548262548263,"Adventure, Casual, Indie"
383840,Nimbatus - The Space Drone Constructor,"May 14, 2020",Stray Fawn Studio,"Stray Fawn Publishing, WhisperGames",4.99,2089,79.70320727620872,"Action, Indie, Simulation"
1477330,Soulestination,"Jan 5, 2021",Zaxiquej,Zaxiquej,1.34,585,91.96581196581197,"Adventure, Indie, RPG, Strategy"
1933650,The Imperial Gatekeeper,"Sep 2, 2022",Tengsten,Kagura Games,8.44,1997,80.12018027040561,"Adventure, Indie, RPG"
939400,LoveChoice,"Nov 15, 2021",Akaba Studio,Akaba Studio,1.59,33890,92.84449690174092,"Adventure, Indie, RPG, Simulation"
508440,Totally Accurate Battle Simulator,"Apr 1, 2021",Landfall,Landfall,6.79,135943,97.81599641026018,"Indie, Simulation, Strategy"
492150,RPG World - Action RPG Maker,"Jul 17, 2020",RaveyLarge,RaveyLarge,0.0,544,70.03676470588235,"Action, Adventure, Indie, RPG"
1220010,Home Behind 2,"Feb 16, 2022",TPP Studio,Spiral Up Games,7.99,6964,87.19126938541069,"Adventure, Indie, RPG, Simulation, Strategy"
314650,SpaceEngine,"Jun 11, 2019",Cosmographic Software,Cosmographic Software,17.99,12617,95.91820559562495,"Casual, Indie, Simulation, Early Access"
1390010,pyramida,"Aug 14, 2020",Sokpop Collective,Sokpop Collective,1.49,705,84.53900709219859,"Indie, Strategy"
601220,Zup! F,"Dec 11, 2019",Quiet River,Quiet River,0.59,7687,97.25510602315597,"Casual, Indie"
1147510,Hentai Asmodeus,"Oct 24, 2019",HEGA Studio,"HappyGames, Tora Creatives",0.79,1212,81.51815181518151,"Adventure, Casual, Simulation"
280720,Imagine Earth,"May 25, 2021",Serious Bros.,Serious Bros.,8.74,923,81.79848320693391,"Casual, Indie, Simulation, Strategy"
1421760,What Comes After,"Nov 5, 2020","Pikselnesia, Rolling Glory Jam",Rolling Glory Jam,2.49,956,90.1673640167364,"Adventure, Casual, Indie"
754050,Bomb Bots Arena,"Jun 1, 2020",Tiny Roar,Tiny Roar,0.0,647,84.08037094281299,"Action, Casual, Free To Play, Indie, Early Access"
1142830,9-nine-:Episode 3,"Aug 31, 2020",PALETTE,Sekai Project,7.99,803,91.90535491905355,"Action, Casual, Simulation"
1055540,A Short Hike,"Jul 30, 2019",adamgryu,adamgryu,4.39,19064,99.16072177926982,"Adventure, Indie"
1896700,Wylde Flowers,"Sep 20, 2022",Studio Drydock Pty Ltd,Studio Drydock Pty Ltd,18.74,2283,96.23302671922909,"Adventure, Simulation"
470310,TROUBLESHOOTER: Abandoned Children,"Apr 23, 2020",Dandylion,Dandylion,7.49,9197,93.99804284005654,"Casual, Indie, RPG, Strategy"
522940,GUN GODZ,"Dec 8, 2019",Vlambeer,Vlambeer,0.0,711,87.48241912798875,"Action, Indie"
539470,Police Stories,"Sep 19, 2019",HypeTrain Digital,HypeTrain Digital,3.99,8701,85.11665325824617,"Action, Indie, Simulation, Strategy"
1106840,Hydroneer,"May 8, 2020",Foulball Hangover,Foulball Hangover,5.24,25123,86.59395772797835,"Adventure, Casual, Indie, Simulation, Strategy"
1007350,Mirror Maker,"Jan 17, 2019",KAGAMI WORKs,Paradise Project,0.79,1007,71.69811320754717,"Indie, RPG, Simulation"
