AppID,Name,Release date,Developers,Publishers,Price,total_reviews,review_score_percent,Genres
745920,Temtem,"Sep 6, 2022",Crema,Humble Games,8.99,38941,81.73390513854292,"Adventure, Indie, Massively Multiplayer, RPG"
349270,Mosaic,"Dec 5, 2019",Krillbite Studio,Raw Fury,3.99,502,74.10358565737052,"Adventure, Indie"
1160220,Paradise Killer,"Sep 4, 2020",Kaizen Game Works,Fellow Traveller,4.99,4049,92.88713262533959,"Adventure, Indie, RPG"
2070550,A Castle Full of Cats,"Nov 9, 2022",Devcats,Devcats,2.39,4009,99.4262908455974,"Adventure, Casual"
910490,Killsquad,"Oct 21, 2021",Novarama,Novarama,29.99,3492,70.30355097365405,"Action, Indie, RPG"
977950,A Dance of Fire and Ice,"Jan 24, 2019",7th Beat Games,"7th Beat Games, indienova",4.79,73471,93.98538198745084,Indie
1172470,Apex Legends™,"Nov 4, 2020",Respawn,Electronic Arts,0.0,994979,67.14242210137098,"Action, Adventure, Free To Play"
489940,BATTALION: Legacy,"May 23, 2019",BULKHEAD,BULKHEAD,0.0,16455,59.53205712549378,"Action, Free To Play"
1418020,Tavern of Gods,"Aug 20, 2021",Element Studio,Element Studio,4.99,792,78.4090909090909,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy"
1260130,Banana Hell,"Nov 7, 2020",Petriheart,Petriheart,2.09,841,67.30083234244947,"Casual, Indie, Strategy"
1901370,Ib,"Apr 11, 2022",kouri,PLAYISM,9.09,4386,99.01960784313727,"Adventure, Indie"
1000080,Zengeon,"Jun 24, 2019",IndieLeague Studio,2P Games,1.99,1539,66.40675763482781,"Action, Adventure, Indie, RPG"
1256230,Hyperbolica,"Mar 14, 2022",CodeParade,CodeParade,12.99,1259,82.922954725973,"Adventure, Indie"
774791,Surgeon Simulator 2,"Sep 2, 2021",Bossa Studios,Infogrames,3.99,2245,49.755011135857465,"Action, Casual, Indie, Simulation"
1039880,Hellsplit: Arena,"Sep 9, 2019",Deep Type Games,Deep Type Games,17.49,3869,85.241664512794,"Action, RPG"
1093910,Tales of the Black Forest,"Sep 25, 2019",拾英工作室,SakuraGame,1.19,13947,97.74861977486198,"Adventure, Indie, RPG"
1440500,東方剛欲異聞　～ 水没した沈愁地獄,"Oct 29, 2021",黄昏フロンティア,"SUNFISH Co., Ltd.",19.99,736,83.0163043478261,"Action, Indie"
1263370,Seek Girl:Fog Ⅰ,"Aug 28, 2020",DSGame,DSGame,1.99,4686,84.52838241570636,"Action, Adventure, Casual, Indie, RPG, Strategy"
887450,Tunche,"Nov 2, 2021",LEAP Game Studios,HypeTrain Digital,4.99,736,73.2336956521739,"Action, Adventure, Casual, Indie, RPG"
1872680,The Knight Witch,"Nov 29, 2022",Super Mega Team,Team17,1.99,773,72.96248382923673,"Action, Adventure, Indie"
1732330,Ys IX -Monstrum NOX-,"Jan 19, 2022",Nihon Falcom,Clouded Leopard Entertainment,21.99,548,90.51094890510949,"Action, RPG"
1124300,HUMANKIND™,"Aug 17, 2021",AMPLITUDE Studios,AMPLITUDE Studios,12.49,27245,68.1703064782529,Strategy
838630,Deadliest Catch: The Game,"Apr 14, 2020",4Fishing,Ultimate Games S.A.,0.99,1455,52.37113402061856,"Adventure, Indie, Simulation"
41060,Serious Sam Classic: The Second Encounter,"Aug 30, 2019",Croteam,Devolver Digital,1.19,1855,96.01078167115902,"Action, Indie"
1137300,Sherlock Holmes Chapter One,"Nov 15, 2021",Frogwares,Frogwares,4.49,3658,78.54018589393111,"Action, Adventure"
892970,Valheim,"Feb 2, 2021",Iron Gate AB,Coffee Stain Publishing,9.99,499828,94.32264699056475,"Action, Adventure, Indie, RPG, Early Access"
1368860,像素女友,"Aug 19, 2020",HIROKO IMAKI,Pujia8 Studio,0.0,1368,98.46491228070175,"Adventure, Casual, Indie, RPG, Simulation"
965670,Niplheim's Hunter - Branded Azel,"Jan 6, 2019",Black Train,Kagura Games,8.99,792,90.15151515151516,RPG
863590,Starcom: Nexus,"Dec 12, 2019","Wx3 Labs, LLC","Wx3 Labs, LLC",4.99,2132,90.29080675422139,"Action, Adventure, Indie, RPG"
1150640,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,"Mar 24, 2020",Other Ocean Emeryville,KONAMI,9.99,4361,82.18298555377207,Simulation
1980530,Kiwi Clicker - Juiced Up,"Jul 29, 2022",Dimitri Kipper,tobspr Games,1.49,1650,95.0909090909091,"Action, Casual, Indie, Simulation, Strategy"
1299360,Mighty Goose,"Jun 5, 2021","Blastmode, MP2 Games",PLAYISM,5.99,927,86.6235167206041,"Action, Indie"
1406990,NEKOPARA Vol. 4,"Nov 26, 2020",NEKO WORKs,Sekai Project,4.99,8619,97.36628379162315,"Adventure, Casual, Indie"
1694420,Card Survival: Tropical Island,"Sep 16, 2022",WinterSpring Games,WinterSpring Games,12.49,2729,95.12641993404178,"Adventure, Indie, Simulation, Strategy"
545040,Feather,"Apr 5, 2019",Samurai Punk,Samurai Punk,1.99,770,81.42857142857143,"Adventure, Casual, Indie, Simulation"
715560,Eastshade,"Feb 13, 2019",Eastshade Studios,Eastshade Studios,9.99,5157,89.3542757417103,"Adventure, Indie"
1765780,ADACA,"Jul 25, 2022",Siris Pendrake,Siris Pendrake,12.49,778,91.6452442159383,"Action, Indie"
1104660,MO:Astray,"Oct 24, 2019",Archpray Inc.,Rayark International Limited,7.49,4934,91.81191730847182,"Action, Adventure, Indie"
1230800,Beach Buggy Racing 2: Island Adventure,"Mar 10, 2021",Vector Unit,Vector Unit,4.79,651,91.85867895545314,Racing
887570,NEBULOUS: Fleet Command,"Feb 11, 2022",Eridanus Industries,Hooded Horse,14.99,3536,82.43778280542986,"Simulation, Strategy, Early Access"
846870,Yooka-Laylee and the Impossible Lair,"Oct 8, 2019",Playtonic Games,Team17 Digital Ltd,5.99,1269,82.11189913317573,"Adventure, Indie"
1733890,"Warhammer 40,000: Battle Sister","Mar 8, 2022",Soul Assembly Ltd,Soul Assembly Ltd,9.99,546,68.4981684981685,"Action, Adventure"
1018850,Smile For Me,"May 31, 2019",LimboLane,"Serenity Forge, LimboLane",7.79,2787,96.55543595263725,"Adventure, Casual, Indie"
2111630,JR EAST Train Simulator,"Nov 14, 2022","ONGAKUKAN Co.,Ltd.",East Japan Railway Company,22.99,968,72.62396694214877,Simulation
975270,军团战棋Legion War,"Jul 14, 2021",Bear & Cat Studio,Bear & Cat Studio,9.99,806,89.95037220843672,"Adventure, Indie, Strategy"
1566410,Touhou Kouryudou ~ Unconnected Marketeers.,"May 3, 2021",上海アリス幻樂団,"Mediascape Co., Ltd.",14.99,1774,97.85794813979707,"Action, Indie"
1025960,BURIED STARS,"Nov 29, 2021",LINE Games Corporation,LINE Games Corporation,7.99,1827,85.22167487684729,"Adventure, Casual"
1335200,Action Taimanin,"Oct 5, 2020",LiLith,Infini-Brain inc.,0.0,18644,83.10984767217336,"Action, Adventure, RPG, Free To Play"
1079160,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,"Sep 9, 2019",上海アリス幻樂団,"Mediascape Co., Ltd.",14.99,1023,97.36070381231671,"Action, Indie"
585020,Big Bia,"Jun 10, 2022",Pixel House Games,INDIECN,1.49,1371,71.26185266229031,"Casual, Indie, Strategy"
551860,Abandon Ship,"Oct 22, 2019",Fireblade Software,Fireblade Software,6.24,1283,73.42166796570537,"Adventure, Indie, RPG, Strategy"
1080020,Electrician Simulator,"Sep 21, 2022",Take IT Studio!,"Gaming Factory, Ultimate Games S.A.",0.89,2909,79.82124441388794,"Adventure, Casual, Indie, Simulation"
1475810,Ghostwire: Tokyo,"Mar 24, 2022",Tango Gameworks,Bethesda Softworks,14.99,18662,82.48312078019505,Action
752590,A Plague Tale: Innocence,"May 14, 2019",Asobo Studio,Focus Entertainment,7.99,63042,93.44405317090194,"Action, Adventure"
952290,Zueirama,"Aug 6, 2019",Memes Games,Memes Games,3.19,1430,94.61538461538461,"Adventure, Casual, Indie"
991810,Strategic Mind: The Pacific,"Oct 25, 2019",Starni Games,Starni Games,11.99,606,75.41254125412541,"Indie, Simulation, Strategy"
938220,TAPSONIC BOLD,"Mar 29, 2019",NEOWIZ,NEOWIZ,5.99,1188,75.25252525252525,"Action, Casual, Racing"
1159660,Moe Era,"Feb 4, 2020",Comfy Company,Comfy Company,0.0,4832,87.70695364238411,"Casual, Free To Play, Indie"
1927720,Monument Valley,"Jul 12, 2022",ustwo games,ustwo games,2.79,6309,98.0979553019496,"Adventure, Casual, Indie, Strategy"
1183260,TrymenT ―献给渴望改变的你― AlphA篇,"Feb 20, 2020",TrymenT,HIKARI FIELD,9.29,659,90.59180576631259,"Adventure, Casual"
724300,Roof Rage,"Oct 16, 2019",Early Melon,Early Melon,14.99,678,88.49557522123894,"Action, Casual, Indie"
337320,Paint the Town Red,"Jul 29, 2021",South East Games,South East Games,9.99,29576,95.88179605085205,"Action, Indie"
1248130,Farming Simulator 22,"Nov 21, 2021",Giants Software,Giants Software,19.99,84512,92.42474441499432,Simulation
1381440,80's OVERDRIVE,"Nov 19, 2020",Insane Code,Insane Code,9.99,696,73.85057471264368,"Indie, Racing"
960990,Beyond: Two Souls,"Jun 18, 2020",Quantic Dream,Quantic Dream,1.99,28027,88.32554322617476,"Action, Adventure"
1020730,Dark Bestiary,"Jul 12, 2020",Qd,Qd,8.99,514,89.29961089494164,"Indie, RPG"
1519490,The Doors of Trithius,"Aug 15, 2021",Jake Donkersgoed,Jake Donkersgoed,11.99,506,96.6403162055336,"Indie, RPG, Simulation, Strategy, Early Access"
1227530,Partisans 1941,"Oct 14, 2020",Alter Games,Daedalic Entertainment,4.49,8186,82.1891033471781,"Indie, Strategy"
995050,Havocado: Ragdoll Fighter,"Apr 25, 2019",Webble Games,Webble Games,19.99,584,83.04794520547945,"Action, Indie, Early Access"
1018800,DEEEER Simulator: Your Average Everyday Deer Game,"Nov 23, 2021",Gibier Games,PLAYISM,5.99,4218,92.43717401612138,"Action, Casual, Indie, Simulation"
1049800,BLOCKADE,"May 21, 2019",Novalink,Novalink,0.0,11459,74.7883759490357,"Action, Indie, Massively Multiplayer, Free To Play"
1663640,The Last Oricru - Final Cut,"Oct 13, 2022",GoldKnights,Prime Matter,1.99,580,67.93103448275862,"Action, Adventure, RPG"
920210,LEGO® Star Wars™: The Skywalker Saga,"Apr 5, 2022",TT Games,"Warner Bros. Games, Warner Bros. Interactive Entertainment",4.99,45038,90.73449087437275,"Action, Adventure"
1225590,Sea of Solitude,"Jun 4, 2020",Jo-Mei Games,Electronic Arts,4.99,1994,83.50050150451354,Adventure
768520,Red Solstice 2: Survivors,"Jun 17, 2021",Ironward,505 Games,10.49,3226,69.62182269063855,"RPG, Strategy"
1504020,Mosaique Neko Waifus 4,"Feb 12, 2021",Lil Hentai Games,Lil Hentai Games,0.99,4840,94.9586776859504,"Casual, RPG"
1689910,Dōkyūsei: Bangin' Summer,"Apr 14, 2022","Elf, Shiravune",Shiravune,7.99,1764,93.48072562358276,"Adventure, Simulation"
1286830,STAR WARS™: The Old Republic™,"Jul 21, 2020",Broadsword,Electronic Arts,0.0,67952,89.56910760536849,"Massively Multiplayer, RPG, Free To Play"
